"filename", "language", "TypeScript", "MS SQL", "TypeScript JSX", "JSON", "JavaScript", "PostCSS", "comment", "blank", "total"
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/package.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/public/manifest.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/public/sw.js", "JavaScript", 0, 0, 0, 0, 8, 0, 1, 2, 11
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/(auth)/login/page.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 1, 3, 9
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/(auth)/register/page.tsx", "TypeScript JSX", 0, 0, 70, 0, 0, 0, 262, 24, 356
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/_proxy.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/admin/[...path]/route.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/agents/[agentId]/properties/route.ts", "TypeScript", -9, 0, 0, 0, 0, 0, 0, -5, -14
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/agents/[agentId]/route.ts", "TypeScript", -21, 0, 0, 0, 0, 0, -1, -6, -28
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/agents/route.ts", "TypeScript", -26, 0, 0, 0, 0, 0, 0, -5, -31
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/auth/[...path]/route.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 7, 13
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/auth/google/callback/route.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 8, 41
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/auth/logout/route.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 1, 6, 23
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/billing/[...path]/route.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/billing/route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/clients/[id]/follow-up/route.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/clients/[id]/notes/route.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/clients/[id]/route.ts", "TypeScript", -17, 0, 0, 0, 0, 0, 0, -3, -20
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/clients/[id]/share-token/route.ts", "TypeScript", -11, 0, 0, 0, 0, 0, 0, -2, -13
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/clients/client-property/[id]/follow-up/route.ts", "TypeScript", -31, 0, 0, 0, 0, 0, 0, -5, -36
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/clients/client-property/[id]/whatsapp-draft/route.ts", "TypeScript", -21, 0, 0, 0, 0, 0, 0, -5, -26
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/clients/client-property/[id]/whatsapp-sent/route.ts", "TypeScript", -22, 0, 0, 0, 0, 0, 0, -5, -27
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/clients/follow-ups/today/route.ts", "TypeScript", -8, 0, 0, 0, 0, 0, 0, -3, -11
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/clients/follow-ups/upcoming/route.ts", "TypeScript", -8, 0, 0, 0, 0, 0, 0, -3, -11
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/clients/leads/route.ts", "TypeScript", -19, 0, 0, 0, 0, 0, 0, -3, -22
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/clients/route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 1, 1, 7
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/clients/share-token-by-phone/route.ts", "TypeScript", -9, 0, 0, 0, 0, 0, 0, -2, -11
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/collections/[...path]/route.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/collections/route.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/dashboard/stats/route.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/deals/[...path]/route.ts", "TypeScript", -18, 0, 0, 0, 0, 0, -1, -2, -21
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/deals/route.ts", "TypeScript", -19, 0, 0, 0, 0, 0, 0, -3, -22
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/ingestion/[...path]/route.ts", "TypeScript", -24, 0, 0, 0, 0, 0, 0, -1, -25
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/media/[...path]/route.ts", "TypeScript", -44, 0, 0, 0, 0, 0, 0, -7, -51
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/media/route.ts", "TypeScript", -18, 0, 0, 0, 0, 0, 0, -3, -21
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/onboarding/[...path]/route.ts", "TypeScript", -24, 0, 0, 0, 0, 0, -1, -6, -31
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/private-groups/[...path]/route.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/private-groups/route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/properties/[id]/activities/route.ts", "TypeScript", -22, 0, 0, 0, 0, 0, 0, -5, -27
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/properties/[id]/agents/[agentId]/route.ts", "TypeScript", -19, 0, 0, 0, 0, 0, 0, -6, -25
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/properties/[id]/attach-agent/route.ts", "TypeScript", -34, 0, 0, 0, 0, 0, 0, -6, -40
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/properties/[id]/availability/route.ts", "TypeScript", -30, 0, 0, 0, 0, 0, -1, -5, -36
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/properties/[id]/leads/route.ts", "TypeScript", -19, 0, 0, 0, 0, 0, 0, -5, -24
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/properties/[id]/neighbors/route.ts", "TypeScript", -24, 0, 0, 0, 0, 0, 0, -5, -29
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/properties/[id]/route.ts", "TypeScript", -48, 0, 0, 0, 0, 0, -6, -11, -65
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/properties/[id]/share/route.ts", "TypeScript", -11, 0, 0, 0, 0, 0, 0, -2, -13
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/properties/route.ts", "TypeScript", -10, 0, 0, 0, 0, 0, 0, -4, -14
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/public/share/[token]/respond/route.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/public/share/[token]/route.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/settings/[...path]/route.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/shortlists/[...path]/route.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/shortlists/route.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/team/[...path]/route.ts", "TypeScript", -10, 0, 0, 0, 0, 0, 0, -4, -14
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/api/team/route.ts", "TypeScript", -14, 0, 0, 0, 0, 0, 0, -2, -16
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/global-error.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 2, 32
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/globals 2.css", "PostCSS", 0, 0, 0, 0, 0, 94, 45, 11, 150
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/layout.tsx", "TypeScript JSX", 0, 0, 37, 0, 0, 0, -8, -4, 25
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/onboarding/OnboardingFlow.tsx", "TypeScript JSX", 0, 0, -223, 0, 0, 0, -11, -18, -252
